Case_Type,Cases,Country_Region,Date,iso3
confirmed,7.0,Afghanistan,2020-03-11,AFG
confirmed,7.0,Afghanistan,2020-03-12,AFG
confirmed,7.0,Afghanistan,2020-03-13,AFG
confirmed,11.0,Afghanistan,2020-03-14,AFG
confirmed,16.0,Afghanistan,2020-03-15,AFG
confirmed,21.0,Afghanistan,2020-03-16,AFG
confirmed,22.0,Afghanistan,2020-03-17,AFG
confirmed,22.0,Afghanistan,2020-03-18,AFG
confirmed,22.0,Afghanistan,2020-03-19,AFG
confirmed,24.0,Afghanistan,2020-03-20,AFG
confirmed,24.0,Afghanistan,2020-03-21,AFG
confirmed,40.0,Afghanistan,2020-03-22,AFG
confirmed,40.0,Afghanistan,2020-03-23,AFG
confirmed,74.0,Afghanistan,2020-03-24,AFG
confirmed,84.0,Afghanistan,2020-03-25,AFG
confirmed,94.0,Afghanistan,2020-03-26,AFG
confirmed,110.0,Afghanistan,2020-03-27,AFG
confirmed,110.0,Afghanistan,2020-03-28,AFG
confirmed,120.0,Afghanistan,2020-03-29,AFG
confirmed,170.0,Afghanistan,2020-03-30,AFG
confirmed,174.0,Afghanistan,2020-03-31,AFG
confirmed,237.0,Afghanistan,2020-04-01,AFG
confirmed,273.0,Afghanistan,2020-04-02,AFG
confirmed,281.0,Afghanistan,2020-04-03,AFG
confirmed,299.0,Afghanistan,2020-04-04,AFG
confirmed,349.0,Afghanistan,2020-04-05,AFG
confirmed,367.0,Afghanistan,2020-04-06,AFG
confirmed,423.0,Afghanistan,2020-04-07,AFG
confirmed,444.0,Afghanistan,2020-04-08,AFG
confirmed,484.0,Afghanistan,2020-04-09,AFG
confirmed,521.0,Afghanistan,2020-04-10,AFG
confirmed,555.0,Afghanistan,2020-04-11,AFG
confirmed,607.0,Afghanistan,2020-04-12,AFG
confirmed,665.0,Afghanistan,2020-04-13,AFG
confirmed,714.0,Afghanistan,2020-04-14,AFG
confirmed,784.0,Afghanistan,2020-04-15,AFG
confirmed,840.0,Afghanistan,2020-04-16,AFG
confirmed,906.0,Afghanistan,2020-04-17,AFG
confirmed,933.0,Afghanistan,2020-04-18,AFG
confirmed,996.0,Afghanistan,2020-04-19,AFG
confirmed,1026.0,Afghanistan,2020-04-20,AFG
confirmed,1092.0,Afghanistan,2020-04-21,AFG
confirmed,1176.0,Afghanistan,2020-04-22,AFG
confirmed,1279.0,Afghanistan,2020-04-23,AFG
confirmed,1351.0,Afghanistan,2020-04-24,AFG
confirmed,1463.0,Afghanistan,2020-04-25,AFG
confirmed,1531.0,Afghanistan,2020-04-26,AFG
confirmed,1703.0,Afghanistan,2020-04-27,AFG
confirmed,1828.0,Afghanistan,2020-04-28,AFG
confirmed,1939.0,Afghanistan,2020-04-29,AFG
confirmed,2171.0,Afghanistan,2020-04-30,AFG
confirmed,2335.0,Afghanistan,2020-05-01,AFG
confirmed,2469.0,Afghanistan,2020-05-02,AFG
confirmed,0.0,Albania,2020-01-22,ALB
confirmed,0.0,Albania,2020-01-23,ALB
confirmed,0.0,Albania,2020-01-24,ALB
confirmed,0.0,Albania,2020-01-25,ALB
confirmed,0.0,Albania,2020-01-26,ALB
confirmed,0.0,Albania,2020-01-27,ALB
confirmed,0.0,Albania,2020-01-28,ALB
confirmed,0.0,Albania,2020-01-29,ALB
confirmed,0.0,Albania,2020-01-30,ALB
confirmed,0.0,Albania,2020-01-31,ALB
confirmed,0.0,Albania,2020-02-01,ALB
confirmed,0.0,Albania,2020-02-02,ALB
confirmed,0.0,Albania,2020-02-03,ALB
confirmed,0.0,Albania,2020-02-04,ALB
confirmed,0.0,Albania,2020-02-05,ALB
confirmed,0.0,Albania,2020-02-06,ALB
confirmed,0.0,Albania,2020-02-07,ALB
confirmed,0.0,Albania,2020-02-08,ALB
confirmed,0.0,Albania,2020-02-09,ALB
confirmed,0.0,Albania,2020-02-10,ALB
confirmed,0.0,Albania,2020-02-11,ALB
confirmed,0.0,Albania,2020-02-12,ALB
confirmed,0.0,Albania,2020-02-13,ALB
confirmed,0.0,Albania,2020-02-14,ALB
confirmed,0.0,Albania,2020-02-15,ALB
confirmed,0.0,Albania,2020-02-16,ALB
confirmed,0.0,Albania,2020-02-17,ALB
confirmed,0.0,Albania,2020-02-18,ALB
confirmed,0.0,Albania,2020-02-19,ALB
confirmed,0.0,Albania,2020-02-20,ALB
confirmed,0.0,Albania,2020-02-21,ALB
confirmed,0.0,Albania,2020-02-22,ALB
confirmed,0.0,Albania,2020-02-23,ALB
confirmed,0.0,Albania,2020-02-24,ALB
confirmed,0.0,Albania,2020-02-25,ALB
confirmed,0.0,Albania,2020-02-26,ALB
confirmed,0.0,Albania,2020-02-27,ALB
confirmed,0.0,Albania,2020-02-28,ALB
confirmed,0.0,Albania,2020-02-29,ALB
confirmed,0.0,Albania,2020-03-01,ALB
confirmed,0.0,Albania,2020-03-02,ALB
confirmed,0.0,Albania,2020-03-03,ALB
confirmed,0.0,Albania,2020-03-04,ALB
confirmed,0.0,Albania,2020-03-05,ALB
confirmed,0.0,Albania,2020-03-06,ALB
confirmed,0.0,Albania,2020-03-07,ALB
confirmed,0.0,Albania,2020-03-08,ALB
confirmed,2.0,Albania,2020-03-09,ALB
confirmed,10.0,Albania,2020-03-10,ALB
confirmed,12.0,Albania,2020-03-11,ALB
confirmed,23.0,Albania,2020-03-12,ALB
confirmed,33.0,Albania,2020-03-13,ALB
confirmed,38.0,Albania,2020-03-14,ALB
confirmed,42.0,Albania,2020-03-15,ALB
confirmed,51.0,Albania,2020-03-16,ALB
confirmed,55.0,Albania,2020-03-17,ALB
confirmed,59.0,Albania,2020-03-18,ALB
confirmed,64.0,Albania,2020-03-19,ALB
confirmed,70.0,Albania,2020-03-20,ALB
confirmed,76.0,Albania,2020-03-21,ALB
confirmed,89.0,Albania,2020-03-22,ALB
confirmed,104.0,Albania,2020-03-23,ALB
confirmed,123.0,Albania,2020-03-24,ALB
confirmed,146.0,Albania,2020-03-25,ALB
confirmed,174.0,Albania,2020-03-26,ALB
confirmed,186.0,Albania,2020-03-27,ALB
confirmed,197.0,Albania,2020-03-28,ALB
confirmed,212.0,Albania,2020-03-29,ALB
confirmed,223.0,Albania,2020-03-30,ALB
confirmed,243.0,Albania,2020-03-31,ALB
confirmed,259.0,Albania,2020-04-01,ALB
confirmed,277.0,Albania,2020-04-02,ALB
confirmed,304.0,Albania,2020-04-03,ALB
confirmed,333.0,Albania,2020-04-04,ALB
confirmed,361.0,Albania,2020-04-05,ALB
confirmed,377.0,Albania,2020-04-06,ALB
confirmed,383.0,Albania,2020-04-07,ALB
confirmed,400.0,Albania,2020-04-08,ALB
confirmed,409.0,Albania,2020-04-09,ALB
confirmed,416.0,Albania,2020-04-10,ALB
confirmed,433.0,Albania,2020-04-11,ALB
confirmed,446.0,Albania,2020-04-12,ALB
confirmed,467.0,Albania,2020-04-13,ALB
confirmed,475.0,Albania,2020-04-14,ALB
confirmed,494.0,Albania,2020-04-15,ALB
confirmed,518.0,Albania,2020-04-16,ALB
confirmed,539.0,Albania,2020-04-17,ALB
confirmed,548.0,Albania,2020-04-18,ALB
confirmed,562.0,Albania,2020-04-19,ALB
confirmed,584.0,Albania,2020-04-20,ALB
confirmed,609.0,Albania,2020-04-21,ALB
confirmed,634.0,Albania,2020-04-22,ALB
confirmed,663.0,Albania,2020-04-23,ALB
confirmed,678.0,Albania,2020-04-24,ALB
confirmed,712.0,Albania,2020-04-25,ALB
confirmed,726.0,Albania,2020-04-26,ALB
confirmed,736.0,Albania,2020-04-27,ALB
confirmed,750.0,Albania,2020-04-28,ALB
confirmed,766.0,Albania,2020-04-29,ALB
confirmed,773.0,Albania,2020-04-30,ALB
confirmed,782.0,Albania,2020-05-01,ALB
confirmed,789.0,Albania,2020-05-02,ALB
confirmed,0.0,Algeria,2020-01-22,DZA
confirmed,0.0,Algeria,2020-01-23,DZA
confirmed,0.0,Algeria,2020-01-24,DZA
confirmed,0.0,Algeria,2020-01-25,DZA
confirmed,0.0,Algeria,2020-01-26,DZA
confirmed,0.0,Algeria,2020-01-27,DZA
confirmed,0.0,Algeria,2020-01-28,DZA
confirmed,0.0,Algeria,2020-01-29,DZA
confirmed,0.0,Algeria,2020-01-30,DZA
confirmed,0.0,Algeria,2020-01-31,DZA
confirmed,0.0,Algeria,2020-02-01,DZA
confirmed,0.0,Algeria,2020-02-02,DZA
confirmed,0.0,Algeria,2020-02-03,DZA
confirmed,0.0,Algeria,2020-02-04,DZA
confirmed,0.0,Algeria,2020-02-05,DZA
confirmed,0.0,Algeria,2020-02-06,DZA
confirmed,0.0,Algeria,2020-02-07,DZA
confirmed,0.0,Algeria,2020-02-08,DZA
confirmed,0.0,Algeria,2020-02-09,DZA
confirmed,0.0,Algeria,2020-02-10,DZA
confirmed,0.0,Algeria,2020-02-11,DZA
confirmed,0.0,Algeria,2020-02-12,DZA
confirmed,0.0,Algeria,2020-02-13,DZA
confirmed,0.0,Algeria,2020-02-14,DZA
confirmed,0.0,Algeria,2020-02-15,DZA
confirmed,0.0,Algeria,2020-02-16,DZA
confirmed,0.0,Algeria,2020-02-17,DZA
confirmed,0.0,Algeria,2020-02-18,DZA
confirmed,0.0,Algeria,2020-02-19,DZA
confirmed,0.0,Algeria,2020-02-20,DZA
confirmed,0.0,Algeria,2020-02-21,DZA
confirmed,0.0,Algeria,2020-02-22,DZA
confirmed,0.0,Algeria,2020-02-23,DZA
confirmed,0.0,Algeria,2020-02-24,DZA
confirmed,1.0,Algeria,2020-02-25,DZA
confirmed,1.0,Algeria,2020-02-26,DZA
confirmed,1.0,Algeria,2020-02-27,DZA
confirmed,1.0,Algeria,2020-02-28,DZA
confirmed,1.0,Algeria,2020-02-29,DZA
confirmed,1.0,Algeria,2020-03-01,DZA
confirmed,3.0,Algeria,2020-03-02,DZA
confirmed,5.0,Algeria,2020-03-03,DZA
confirmed,12.0,Algeria,2020-03-04,DZA
confirmed,12.0,Algeria,2020-03-05,DZA
confirmed,17.0,Algeria,2020-03-06,DZA
confirmed,17.0,Algeria,2020-03-07,DZA
confirmed,19.0,Algeria,2020-03-08,DZA
confirmed,20.0,Algeria,2020-03-09,DZA
confirmed,20.0,Algeria,2020-03-10,DZA
confirmed,20.0,Algeria,2020-03-11,DZA
confirmed,24.0,Algeria,2020-03-12,DZA
confirmed,26.0,Algeria,2020-03-13,DZA
confirmed,37.0,Algeria,2020-03-14,DZA
confirmed,48.0,Algeria,2020-03-15,DZA
confirmed,54.0,Algeria,2020-03-16,DZA
confirmed,60.0,Algeria,2020-03-17,DZA
confirmed,74.0,Algeria,2020-03-18,DZA
confirmed,87.0,Algeria,2020-03-19,DZA
confirmed,90.0,Algeria,2020-03-20,DZA
confirmed,139.0,Algeria,2020-03-21,DZA
confirmed,201.0,Algeria,2020-03-22,DZA
confirmed,230.0,Algeria,2020-03-23,DZA
confirmed,264.0,Algeria,2020-03-24,DZA
confirmed,302.0,Algeria,2020-03-25,DZA
confirmed,367.0,Algeria,2020-03-26,DZA
confirmed,409.0,Algeria,2020-03-27,DZA
confirmed,454.0,Algeria,2020-03-28,DZA
confirmed,511.0,Algeria,2020-03-29,DZA
confirmed,584.0,Algeria,2020-03-30,DZA
confirmed,716.0,Algeria,2020-03-31,DZA
confirmed,847.0,Algeria,2020-04-01,DZA
confirmed,986.0,Algeria,2020-04-02,DZA
confirmed,1171.0,Algeria,2020-04-03,DZA
confirmed,1251.0,Algeria,2020-04-04,DZA
confirmed,1320.0,Algeria,2020-04-05,DZA
confirmed,1423.0,Algeria,2020-04-06,DZA
confirmed,1468.0,Algeria,2020-04-07,DZA
confirmed,1572.0,Algeria,2020-04-08,DZA
confirmed,1666.0,Algeria,2020-04-09,DZA
confirmed,1761.0,Algeria,2020-04-10,DZA
confirmed,1825.0,Algeria,2020-04-11,DZA
confirmed,1914.0,Algeria,2020-04-12,DZA
confirmed,1983.0,Algeria,2020-04-13,DZA
confirmed,2070.0,Algeria,2020-04-14,DZA
confirmed,2160.0,Algeria,2020-04-15,DZA
confirmed,2268.0,Algeria,2020-04-16,DZA
confirmed,2418.0,Algeria,2020-04-17,DZA
confirmed,2534.0,Algeria,2020-04-18,DZA
confirmed,2629.0,Algeria,2020-04-19,DZA
confirmed,2718.0,Algeria,2020-04-20,DZA
confirmed,2811.0,Algeria,2020-04-21,DZA
confirmed,2910.0,Algeria,2020-04-22,DZA
confirmed,3007.0,Algeria,2020-04-23,DZA
confirmed,3127.0,Algeria,2020-04-24,DZA
confirmed,3256.0,Algeria,2020-04-25,DZA
confirmed,3382.0,Algeria,2020-04-26,DZA
confirmed,3517.0,Algeria,2020-04-27,DZA
confirmed,3649.0,Algeria,2020-04-28,DZA
confirmed,3848.0,Algeria,2020-04-29,DZA
confirmed,4006.0,Algeria,2020-04-30,DZA
confirmed,4154.0,Algeria,2020-05-01,DZA
confirmed,4295.0,Algeria,2020-05-02,DZA
confirmed,0.0,Andorra,2020-01-22,AND
confirmed,0.0,Andorra,2020-01-23,AND
confirmed,0.0,Andorra,2020-01-24,AND
confirmed,0.0,Andorra,2020-01-25,AND
confirmed,0.0,Andorra,2020-01-26,AND
confirmed,0.0,Andorra,2020-01-27,AND
confirmed,0.0,Andorra,2020-01-28,AND
confirmed,0.0,Andorra,2020-01-29,AND
confirmed,0.0,Andorra,2020-01-30,AND
confirmed,0.0,Andorra,2020-01-31,AND
confirmed,0.0,Andorra,2020-02-01,AND
confirmed,0.0,Andorra,2020-02-02,AND
confirmed,0.0,Andorra,2020-02-03,AND
confirmed,0.0,Andorra,2020-02-04,AND
confirmed,0.0,Andorra,2020-02-05,AND
confirmed,0.0,Andorra,2020-02-06,AND
confirmed,0.0,Andorra,2020-02-07,AND
confirmed,0.0,Andorra,2020-02-08,AND
confirmed,0.0,Andorra,2020-02-09,AND
confirmed,0.0,Andorra,2020-02-10,AND
confirmed,0.0,Andorra,2020-02-11,AND
confirmed,0.0,Andorra,2020-02-12,AND
confirmed,0.0,Andorra,2020-02-13,AND
confirmed,0.0,Andorra,2020-02-14,AND
confirmed,0.0,Andorra,2020-02-15,AND
confirmed,0.0,Andorra,2020-02-16,AND
confirmed,0.0,Andorra,2020-02-17,AND
confirmed,0.0,Andorra,2020-02-18,AND
confirmed,0.0,Andorra,2020-02-19,AND
confirmed,0.0,Andorra,2020-02-20,AND
confirmed,0.0,Andorra,2020-02-21,AND
confirmed,0.0,Andorra,2020-02-22,AND
confirmed,0.0,Andorra,2020-02-23,AND
confirmed,0.0,Andorra,2020-02-24,AND
confirmed,0.0,Andorra,2020-02-25,AND
confirmed,0.0,Andorra,2020-02-26,AND
confirmed,0.0,Andorra,2020-02-27,AND
confirmed,0.0,Andorra,2020-02-28,AND
confirmed,0.0,Andorra,2020-02-29,AND
confirmed,0.0,Andorra,2020-03-01,AND
confirmed,1.0,Andorra,2020-03-02,AND
confirmed,1.0,Andorra,2020-03-03,AND
confirmed,1.0,Andorra,2020-03-04,AND
confirmed,1.0,Andorra,2020-03-05,AND
confirmed,1.0,Andorra,2020-03-06,AND
confirmed,1.0,Andorra,2020-03-07,AND
confirmed,1.0,Andorra,2020-03-08,AND
confirmed,1.0,Andorra,2020-03-09,AND
confirmed,1.0,Andorra,2020-03-10,AND
confirmed,1.0,Andorra,2020-03-11,AND
confirmed,1.0,Andorra,2020-03-12,AND
confirmed,1.0,Andorra,2020-03-13,AND
confirmed,1.0,Andorra,2020-03-14,AND
confirmed,1.0,Andorra,2020-03-15,AND
confirmed,2.0,Andorra,2020-03-16,AND
confirmed,39.0,Andorra,2020-03-17,AND
confirmed,39.0,Andorra,2020-03-18,AND
confirmed,53.0,Andorra,2020-03-19,AND
confirmed,75.0,Andorra,2020-03-20,AND
confirmed,88.0,Andorra,2020-03-21,AND
confirmed,113.0,Andorra,2020-03-22,AND
confirmed,133.0,Andorra,2020-03-23,AND
confirmed,164.0,Andorra,2020-03-24,AND
confirmed,188.0,Andorra,2020-03-25,AND
confirmed,224.0,Andorra,2020-03-26,AND
confirmed,267.0,Andorra,2020-03-27,AND
confirmed,308.0,Andorra,2020-03-28,AND
confirmed,334.0,Andorra,2020-03-29,AND
confirmed,370.0,Andorra,2020-03-30,AND
confirmed,376.0,Andorra,2020-03-31,AND
confirmed,390.0,Andorra,2020-04-01,AND
confirmed,428.0,Andorra,2020-04-02,AND
confirmed,439.0,Andorra,2020-04-03,AND
confirmed,466.0,Andorra,2020-04-04,AND
confirmed,501.0,Andorra,2020-04-05,AND
confirmed,525.0,Andorra,2020-04-06,AND
confirmed,545.0,Andorra,2020-04-07,AND
confirmed,564.0,Andorra,2020-04-08,AND
confirmed,583.0,Andorra,2020-04-09,AND
confirmed,601.0,Andorra,2020-04-10,AND
confirmed,601.0,Andorra,2020-04-11,AND
confirmed,638.0,Andorra,2020-04-12,AND
confirmed,646.0,Andorra,2020-04-13,AND
confirmed,659.0,Andorra,2020-04-14,AND
confirmed,673.0,Andorra,2020-04-15,AND
confirmed,673.0,Andorra,2020-04-16,AND
confirmed,696.0,Andorra,2020-04-17,AND
confirmed,704.0,Andorra,2020-04-18,AND
confirmed,713.0,Andorra,2020-04-19,AND
confirmed,717.0,Andorra,2020-04-20,AND
confirmed,717.0,Andorra,2020-04-21,AND
confirmed,723.0,Andorra,2020-04-22,AND
confirmed,723.0,Andorra,2020-04-23,AND
confirmed,731.0,Andorra,2020-04-24,AND
confirmed,738.0,Andorra,2020-04-25,AND
confirmed,738.0,Andorra,2020-04-26,AND
confirmed,743.0,Andorra,2020-04-27,AND
confirmed,743.0,Andorra,2020-04-28,AND
confirmed,743.0,Andorra,2020-04-29,AND
confirmed,745.0,Andorra,2020-04-30,AND
confirmed,745.0,Andorra,2020-05-01,AND
confirmed,747.0,Andorra,2020-05-02,AND
confirmed,0.0,Angola,2020-01-22,AGO
confirmed,0.0,Angola,2020-01-23,AGO
confirmed,0.0,Angola,2020-01-24,AGO
confirmed,0.0,Angola,2020-01-25,AGO
confirmed,0.0,Angola,2020-01-26,AGO
confirmed,0.0,Angola,2020-01-27,AGO
confirmed,0.0,Angola,2020-01-28,AGO
confirmed,0.0,Angola,2020-01-29,AGO
confirmed,0.0,Angola,2020-01-30,AGO
confirmed,0.0,Angola,2020-01-31,AGO
confirmed,0.0,Angola,2020-02-01,AGO
confirmed,0.0,Angola,2020-02-02,AGO
confirmed,0.0,Angola,2020-02-03,AGO
confirmed,0.0,Angola,2020-02-04,AGO
confirmed,0.0,Angola,2020-02-05,AGO
confirmed,0.0,Angola,2020-02-06,AGO
confirmed,0.0,Angola,2020-02-07,AGO
confirmed,0.0,Angola,2020-02-08,AGO
confirmed,0.0,Angola,2020-02-09,AGO
confirmed,0.0,Angola,2020-02-10,AGO
confirmed,0.0,Angola,2020-02-11,AGO
confirmed,0.0,Angola,2020-02-12,AGO
confirmed,0.0,Angola,2020-02-13,AGO
confirmed,0.0,Angola,2020-02-14,AGO
confirmed,0.0,Angola,2020-02-15,AGO
confirmed,0.0,Angola,2020-02-16,AGO
confirmed,0.0,Angola,2020-02-17,AGO
confirmed,0.0,Angola,2020-02-18,AGO
confirmed,0.0,Angola,2020-02-19,AGO
confirmed,0.0,Angola,2020-02-20,AGO
confirmed,0.0,Angola,2020-02-21,AGO
confirmed,0.0,Angola,2020-02-22,AGO
confirmed,0.0,Angola,2020-02-23,AGO
confirmed,0.0,Angola,2020-02-24,AGO
confirmed,0.0,Angola,2020-02-25,AGO
confirmed,0.0,Angola,2020-02-26,AGO
confirmed,0.0,Angola,2020-02-27,AGO
confirmed,0.0,Angola,2020-02-28,AGO
confirmed,0.0,Angola,2020-02-29,AGO
confirmed,0.0,Angola,2020-03-01,AGO
confirmed,0.0,Angola,2020-03-02,AGO
confirmed,0.0,Angola,2020-03-03,AGO
confirmed,0.0,Angola,2020-03-04,AGO
confirmed,0.0,Angola,2020-03-05,AGO
confirmed,0.0,Angola,2020-03-06,AGO
confirmed,0.0,Angola,2020-03-07,AGO
confirmed,0.0,Angola,2020-03-08,AGO
confirmed,0.0,Angola,2020-03-09,AGO
confirmed,0.0,Angola,2020-03-10,AGO
confirmed,0.0,Angola,2020-03-11,AGO
confirmed,0.0,Angola,2020-03-12,AGO
confirmed,0.0,Angola,2020-03-13,AGO
confirmed,0.0,Angola,2020-03-14,AGO
confirmed,0.0,Angola,2020-03-15,AGO
confirmed,0.0,Angola,2020-03-16,AGO
confirmed,0.0,Angola,2020-03-17,AGO
confirmed,0.0,Angola,2020-03-18,AGO
confirmed,0.0,Angola,2020-03-19,AGO
confirmed,1.0,Angola,2020-03-20,AGO
confirmed,2.0,Angola,2020-03-21,AGO
confirmed,2.0,Angola,2020-03-22,AGO
confirmed,3.0,Angola,2020-03-23,AGO
confirmed,3.0,Angola,2020-03-24,AGO
confirmed,3.0,Angola,2020-03-25,AGO
confirmed,4.0,Angola,2020-03-26,AGO
confirmed,4.0,Angola,2020-03-27,AGO
confirmed,5.0,Angola,2020-03-28,AGO
confirmed,7.0,Angola,2020-03-29,AGO
confirmed,7.0,Angola,2020-03-30,AGO
confirmed,7.0,Angola,2020-03-31,AGO
confirmed,8.0,Angola,2020-04-01,AGO
confirmed,8.0,Angola,2020-04-02,AGO
confirmed,8.0,Angola,2020-04-03,AGO
confirmed,10.0,Angola,2020-04-04,AGO
confirmed,14.0,Angola,2020-04-05,AGO
confirmed,16.0,Angola,2020-04-06,AGO
confirmed,17.0,Angola,2020-04-07,AGO
confirmed,19.0,Angola,2020-04-08,AGO
confirmed,19.0,Angola,2020-04-09,AGO
confirmed,19.0,Angola,2020-04-10,AGO
confirmed,19.0,Angola,2020-04-11,AGO
confirmed,19.0,Angola,2020-04-12,AGO
confirmed,19.0,Angola,2020-04-13,AGO
confirmed,19.0,Angola,2020-04-14,AGO
confirmed,19.0,Angola,2020-04-15,AGO
confirmed,19.0,Angola,2020-04-16,AGO
confirmed,19.0,Angola,2020-04-17,AGO
confirmed,24.0,Angola,2020-04-18,AGO
confirmed,24.0,Angola,2020-04-19,AGO
confirmed,24.0,Angola,2020-04-20,AGO
confirmed,24.0,Angola,2020-04-21,AGO
confirmed,25.0,Angola,2020-04-22,AGO
confirmed,25.0,Angola,2020-04-23,AGO
confirmed,25.0,Angola,2020-04-24,AGO
confirmed,25.0,Angola,2020-04-25,AGO
confirmed,26.0,Angola,2020-04-26,AGO
confirmed,27.0,Angola,2020-04-27,AGO
confirmed,27.0,Angola,2020-04-28,AGO
confirmed,27.0,Angola,2020-04-29,AGO
confirmed,27.0,Angola,2020-04-30,AGO
confirmed,30.0,Angola,2020-05-01,AGO
confirmed,35.0,Angola,2020-05-02,AGO
confirmed,0.0,Antigua and Barbuda,2020-01-22,ATG
confirmed,0.0,Antigua and Barbuda,2020-01-23,ATG
confirmed,0.0,Antigua and Barbuda,2020-01-24,ATG
confirmed,0.0,Antigua and Barbuda,2020-01-25,ATG
confirmed,0.0,Antigua and Barbuda,2020-01-26,ATG
confirmed,0.0,Antigua and Barbuda,2020-01-27,ATG
confirmed,0.0,Antigua and Barbuda,2020-01-28,ATG
confirmed,0.0,Antigua and Barbuda,2020-01-29,ATG
confirmed,0.0,Antigua and Barbuda,2020-01-30,ATG
confirmed,0.0,Antigua and Barbuda,2020-01-31,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-01,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-02,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-03,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-04,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-05,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-06,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-07,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-08,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-09,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-10,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-11,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-12,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-13,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-14,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-15,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-16,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-17,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-18,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-19,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-20,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-21,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-22,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-23,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-24,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-25,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-26,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-27,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-28,ATG
confirmed,0.0,Antigua and Barbuda,2020-02-29,ATG
confirmed,0.0,Antigua and Barbuda,2020-03-01,ATG
